P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
50; 0; 0; 0; 0; 4; 2.0005e-08; -4.196219955e-06; -0.0037134302468171763; 3.0000000000000004e-08; -0.036106220349999996
50; 1; 1; 1; 1; 5; 2.0005e-08; 2.472374945e-06; -0.0037292601266777406; 3.0000000000000004e-08; -0.0364549147
50; 1010; A; 10; 2; 5; 2.0005e-08; 1.1764136865e-05; -0.0037315815806291835; 3.0000000000000004e-08; -0.0365420486
50; 1100100; 64; 100; 3; 3; 2.0005e-08; 1.076267155e-06; -0.0037179189985713217; 3.0000000000000004e-08; -0.0362956086
50; 1100101; 65; 101; 4; 4; 2.0005e-08; 1.0116249655e-05; -0.0037285814861563113; 3.0000000000000004e-08; -0.0363762743
50; 1100110; 66; 102; 4; 4; 2.0005e-08; 3.337759495e-06; -0.0037160997172443586; 3.0000000000000004e-08; -0.036336224550000004
50; 1100111; 67; 103; 5; 3; 2.0005e-08; -3.2506542399999997e-06; -0.003719897682118024; 3.0000000000000004e-08; -0.03622589215
50; 1101000; 68; 104; 3; 3; 2.0005e-08; 1.3443805874999998e-05; -0.0037323774538120308; 3.0000000000000004e-08; -0.036242824800000004
50; 1101001; 69; 105; 4; 6; 2.0005e-08; -2.858771336e-05; -0.0037388121985687146; 3.0000000000000004e-08; -0.0364717718
50; 1101010; 6A; 106; 4; 1; 2.0005e-08; 7.14363125e-06; -0.0037194473651922634; 3.0000000000000004e-08; -0.0361716216
50; 1101011; 6B; 107; 5; 7; 2.0005e-08; 5.788201974999999e-06; -0.003745301957283697; 3.0000000000000004e-08; -0.0367137548
50; 1101100; 6C; 108; 4; 2; 2.0005e-08; -1.706948708e-05; -0.0037388638679605535; 3.0000000000000004e-08; -0.03628880005
50; 1101101; 6D; 109; 5; 4; 2.0005e-08; 2.8292012765e-05; -0.0037516909842771925; 3.0000000000000004e-08; -0.0364476106
50; 1011; B; 11; 3; 4; 2.0005e-08; 1.162158072e-05; -0.003751726830279283; 3.0000000000000004e-08; -0.03647664075
50; 1101110; 6E; 110; 5; 6; 2.0005e-08; 1.2422632829999998e-05; -0.0037452465422804387; 3.0000000000000004e-08; -0.0365830568
50; 1101111; 6F; 111; 6; 3; 2.0005e-08; -1.3620172484999999e-05; -0.0037352605329121456; 3.0000000000000004e-08; -0.03624172075
50; 1110000; 70; 112; 3; 3; 2.0005e-08; -1.967445062e-05; -0.0037315563145606944; 3.0000000000000004e-08; -0.03625814585
50; 1110001; 71; 113; 4; 4; 2.0005e-08; -2.0704839935e-05; -0.003729251616139353; 3.0000000000000004e-08; -0.03631415635
50; 1110010; 72; 114; 4; 1; 2.0005e-08; -2.0983289210000002e-05; -0.0037175680911083644; 3.0000000000000004e-08; -0.0360382793
50; 1110011; 73; 115; 5; 5; 2.0005e-08; -1.88530846e-05; -0.003770621978799962; 3.0000000000000004e-08; -0.0364914041
50; 1110100; 74; 116; 4; 3; 2.0005e-08; 5.418065825e-06; -0.0037302230967133114; 3.0000000000000004e-08; -0.036263704199999997
50; 1110101; 75; 117; 5; 5; 2.0005e-08; -2.54810936e-06; -0.00373460848160943; 3.0000000000000004e-08; -0.03638021835
50; 1110110; 76; 118; 5; 3; 2.0005e-08; -7.74386787e-06; -0.0037297212490822397; 3.0000000000000004e-08; -0.0362161875
50; 1110111; 77; 119; 6; 6; 2.0005e-08; 6.033296700000001e-06; -0.003726688318548002; 3.0000000000000004e-08; -0.03635915185
50; 1100; C; 12; 2; 7; 2.0005e-08; 1.9796100355e-06; -0.003745544628473656; 3.0000000000000004e-08; -0.03663824375
50; 1111000; 78; 120; 4; 5; 2.0005e-08; -2.6425869915e-05; -0.0037452639015249567; 3.0000000000000004e-08; -0.03637508585
