P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
300; 0; 0; 0; 0; 4; 2.0001228800000002e-08; 5.9731000900000006e-06; -0.003584688263805663; 2.99935208e-08; -2.498517485
300; 1010; A; 10; 2; 5; 2.000060605e-08; 1.730515175e-05; -0.0035931733566471474; 3.00023643e-08; -2.49847343
300; 1100101; 65; 101; 4; 4; 2.00005608e-08; 2.320428765e-05; -0.0035963290390098033; 3.000674515e-08; -2.49813666
300; 1100110; 66; 102; 4; 4; 2.000192e-08; 1.298056905e-05; -0.0036067239601849936; 3.000402815e-08; -2.498209645
300; 1100111; 67; 103; 5; 3; 2.0001615000000002e-08; 1.271829555e-05; -0.003587782622488872; 3.000197415e-08; -2.49744368
300; 1101000; 68; 104; 3; 3; 2.000229375e-08; 2.055072595e-05; -0.003601357869733888; 3.000074305e-08; -2.499210005
300; 1101001; 69; 105; 4; 6; 2.0002994349999998e-08; 2.134544845e-05; -0.003604939664111486; 2.999986385e-08; -2.49845167
300; 1101010; 6A; 106; 4; 1; 2.0002368599999998e-08; 2.08780036e-05; -0.0035964782958995602; 3.000437835e-08; -2.498504505
300; 1011; B; 11; 3; 4; 2.000085705e-08; 1.0504597665e-05; -0.0036179089535441065; 3.000003265e-08; -2.49772562
300; 1101110; 6E; 110; 5; 6; 2.000308985e-08; -8.845197510000001e-06; -0.003620475494769143; 3.0003312200000004e-08; -2.49887007
300; 1110001; 71; 113; 4; 4; 2.0003499999999998e-08; 1.5335642949999998e-05; -0.003604173908721971; 2.99956666e-08; -2.497081995
300; 1110010; 72; 114; 4; 1; 2.0003499999999998e-08; 1.037891555e-05; -0.003567787672515781; 2.99971079e-08; -2.49715277
300; 1110011; 73; 115; 5; 5; 2.000154525e-08; 1.075960725e-05; -0.0035906186999227533; 2.99985485e-08; -2.49639664
300; 1110100; 74; 116; 4; 3; 2.0000328e-08; 1.6903532099999997e-05; -0.003571621779702157; 3.00029135e-08; -2.49816174
300; 1110101; 75; 117; 5; 5; 2.0001500000000002e-08; 1.97423434e-05; -0.0035809324681960832; 3.000287725e-08; -2.49741808
300; 1110110; 76; 118; 5; 3; 2.0005e-08; 1.16471007e-05; -0.0035965558162181143; 3.0002916799999994e-08; -2.497492345
300; 1100; C; 12; 2; 7; 2.000105e-08; 5.349726505e-06; -0.003592846556622832; 2.999379415e-08; -2.49954123
300; 1111010; 7A; 122; 5; 5; 2.00002759e-08; 2.095573045e-05; -0.003593688498810896; 3.000023095e-08; -2.49783168
300; 1111100; 7C; 124; 5; 1; 2.00002382e-08; 2.3988702599999998e-05; -0.003588235664676887; 2.999746905e-08; -2.49884227
300; 1111101; 7D; 125; 6; 8; 2.00012149e-08; 5.750964645e-06; -0.003594294726878668; 2.999940435e-08; -2.4981303
300; 1111110; 7E; 126; 6; 6; 2.000082225e-08; 2.8344440599999998e-05; -0.003613453942279584; 3.000047535e-08; -2.49818331
300; 1111111; 7F; 127; 7; 4; 2.0000449999999998e-08; 6.72081842e-06; -0.0035853129004120073; 3.000026375e-08; -2.49741363
300; 10000110; 86; 134; 3; 2; 2.000043465e-08; 1.150164325e-05; -0.003582623694502449; 2.99959443e-08; -2.49749914
300; 10000111; 87; 135; 4; 4; 2.00002247e-08; -4.552926684999999e-06; -0.003577513060816475; 2.99941539e-08; -2.49672901
