P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
150; 0; 0; 0; 0; 4; 4.000105e-08; -6.84104034e-05; -0.005019094894047723; 4.49989563e-08; -0.852156742
150; 1; 1; 1; 1; 5; 4.00005e-08; 0.0001190909435; -0.005023857893759405; 4.50047242e-08; -0.894688597
150; 1101001; 69; 105; 4; 6; 4.0000450000000005e-08; -5.376425405e-06; -0.004968677438616635; 4.50000471e-08; -0.8436459715
150; 1101011; 6B; 107; 5; 7; 4.0000496200000004e-08; -5.9308452e-05; -0.004970829643955839; 4.5001157249999995e-08; -0.854572189
150; 1101110; 6E; 110; 5; 6; 4.00007405e-08; 0.0001131284075; -0.005009539141247431; 4.500051935e-08; -0.8515359
150; 1110100; 74; 116; 4; 3; 4.00015536e-08; -2.2805674e-05; -0.004981795054696598; 4.4999728700000004e-08; -0.840443802
150; 1110111; 77; 119; 6; 6; 4.00006772e-08; -0.00010205388649999999; -0.005012812666146983; 4.5000024349999996e-08; -0.852490261
150; 1111101; 7D; 125; 6; 8; 4.000085735e-08; -8.123138655000001e-05; -0.00502522311628304; 4.50000289e-08; -0.880768129
150; 1111110; 7E; 126; 6; 6; 4.00003017e-08; -8.795579794999999e-05; -0.005000821379943831; 4.500004845e-08; -0.840849198
150; 1111111; 7F; 127; 7; 4; 4.00002145e-08; -1.54731291e-05; -0.005028946052675941; 4.4996902800000005e-08; -0.8994858594999999
150; 10001101; 8D; 141; 4; 5; 4.00001655e-08; 3.40650236e-05; -0.00504071035502418; 4.499325895e-08; -0.8991437725
150; 10010110; 96; 150; 4; 2; 4.0000450000000005e-08; 4.98305725e-05; -0.005027440159173439; 4.4999992999999994e-08; -0.8517988295000001
150; 10011000; 98; 152; 3; 3; 4.000015e-08; -2.526584135e-05; -0.004967669289443811; 4.50006277e-08; -0.888784621
150; 10000; 10; 16; 1; 4; 4.000042835e-08; -2.133742915e-05; -0.004997165788873713; 4.5000551e-08; -0.841830766
150; 10100000; A0; 160; 2; 3; 4.00002095e-08; 2.928190285e-05; -0.004981244418826797; 4.5001947649999996e-08; -0.901644883
150; 10100001; A1; 161; 3; 3; 4.0000199900000003e-08; -6.200065445e-05; -0.004985030835718691; 4.5000154350000005e-08; -0.839482084
150; 10100010; A2; 162; 3; 4; 4.000005265e-08; 6.87063108e-05; -0.0050048784585255005; 4.4999455e-08; -0.8431579659999999
150; 10100011; A3; 163; 4; 2; 4.000015e-08; -1.15042008e-05; -0.005003860065484649; 4.50008045e-08; -0.8409253795
150; 10100110; A6; 166; 4; 2; 4.000096e-08; -8.426294585e-06; -0.005032753309482485; 4.5001436649999995e-08; -0.854980329
150; 10110111; B7; 183; 6; 4; 4.000070905e-08; -1.777453735e-05; -0.005009223102033968; 4.4999852e-08; -0.8547171675
150; 10111000; B8; 184; 4; 4; 4.0000197e-08; 4.828112135e-05; -0.00497796603873297; 4.499976665e-08; -0.8410263065
150; 11000011; C3; 195; 4; 4; 4.00005e-08; -0.00010453203099999999; -0.005007722585002988; 4.50011445e-08; -0.8411179315
150; 11011011; DB; 219; 6; 5; 4.000084345e-08; -3.957837085e-05; -0.004979464152572502; 4.50011247e-08; -0.851366818
150; 10110; 16; 22; 3; 4; 4.000035e-08; 3.19580749e-05; -0.005042506980508888; 4.50009697e-08; -0.837027591
150; 11011100; DC; 220; 5; 3; 4.0000115e-08; -8.70688273e-05; -0.005028730823669736; 4.5000376749999996e-08; -0.846368707
150; 11011101; DD; 221; 6; 3; 4.000035e-08; -6.458028005e-06; -0.005027502799818013; 4.49996694e-08; -0.840717818
150; 11100000; E0; 224; 3; 4; 4.00000526e-08; -9.209791520000001e-05; -0.004984517942691555; 4.499959715e-08; -0.8496155894999999
150; 11100001; E1; 225; 4; 5; 4.00005e-08; -1.8800561149999998e-05; -0.004975537395868029; 4.5000615099999995e-08; -0.8429700355
150; 11100010; E2; 226; 4; 3; 4.000015e-08; 5.377928745e-05; -0.005010162021578954; 4.500003135e-08; -0.838633395
150; 11101010; EA; 234; 5; 4; 4.00005e-08; 0.000146734894; -0.004984650268046246; 4.4997778749999995e-08; -0.8998478425
150; 11101011; EB; 235; 6; 5; 4.00005e-08; -5.55930211e-05; -0.005016889818912604; 4.4999827700000006e-08; -0.836779707
150; 11101100; EC; 236; 5; 5; 4.000035e-08; 8.371284929999999e-06; -0.004967587088325013; 4.499895955e-08; -0.852890152
150; 11101111; EF; 239; 7; 7; 4.000035e-08; -2.347155355e-05; -0.005030044331828574; 4.50009666e-08; -0.8394282175000001
150; 11110001; F1; 241; 5; 3; 4.0000450000000005e-08; -1.094828725e-05; -0.005038751293337908; 4.49992184e-08; -0.8541574985
150; 11110011; F3; 243; 6; 3; 4.00005e-08; -3.4360184e-05; -0.005027482664099899; 4.5001868850000004e-08; -0.8359625835
150; 11110100; F4; 244; 5; 7; 4.00004626e-08; 3.66308863e-05; -0.004994211111753475; 4.499948805e-08; -0.8395363650000001
150; 11100; 1C; 28; 3; 4; 4.0000315000000005e-08; -4.78589323e-05; -0.005027997766720776; 4.50004589e-08; -0.8404256065
150; 11; 3; 3; 2; 6; 4.00005e-08; 6.95569043e-05; -0.005021764186295998; 4.4999987849999996e-08; -0.839221916
150; 11110; 1E; 30; 4; 4; 4.00003649e-08; -2.93940403e-05; -0.00504709747935195; 4.499973645e-08; -0.8412920675
150; 100000; 20; 32; 1; 6; 4.0000735e-08; 8.317247255000001e-05; -0.005001929360171542; 4.499978235e-08; -0.854461651
150; 100001; 21; 33; 2; 7; 4.00003368e-08; 5.3151905549999996e-05; -0.005006698836011101; 4.499981685e-08; -0.842662045
150; 100010; 22; 34; 2; 4; 4.000005e-08; 0.000112715392; -0.005001943843999052; 4.50007613e-08; -0.841647245
150; 100011; 23; 35; 3; 3; 4.00005e-08; 0.00011614942200000001; -0.005016230416809803; 4.50007063e-08; -0.8501891930000001
150; 101; 5; 5; 2; 5; 4.00000226e-08; -2.9533818599999997e-05; -0.005033415421754051; 4.5001201350000004e-08; -0.8516042325
150; 110010; 32; 50; 3; 3; 4.0000186e-08; 5.46326842e-05; -0.005009436970276119; 4.500009025e-08; -0.8433368795
150; 110100; 34; 52; 3; 2; 4.00005e-08; -0.00014208034399999998; -0.004989288818171179; 4.5002834149999995e-08; -0.8411763489999999
150; 111001; 39; 57; 4; 2; 4.000035e-08; 8.2556445e-05; -0.005005569004112346; 4.5000485499999994e-08; -0.8427130525
150; 110; 6; 6; 2; 6; 4.0000256e-08; 3.5556162199999996e-05; -0.005017859960822828; 4.499907075e-08; -0.8538154549999999
150; 111100; 3C; 60; 4; 6; 4.000015e-08; -9.622315750000001e-05; -0.005006365045892672; 4.50001724e-08; -0.8406780965
150; 111101; 3D; 61; 5; 4; 4.00005e-08; -0.0001332739485; -0.005032262522740607; 4.5000281300000005e-08; -0.8399927789999999
150; 1000000; 40; 64; 1; 2; 4.000022195e-08; -3.8578296599999995e-05; -0.004991280225082447; 4.5000017099999996e-08; -0.8521189055
150; 1000001; 41; 65; 2; 3; 4.000005e-08; -1.5528613150000002e-05; -0.005013367343512401; 4.4999458599999995e-08; -0.835669459
150; 1000011; 43; 67; 3; 3; 4.0000039900000005e-08; -4.942386545e-05; -0.005000058468320025; 4.50005062e-08; -0.851745707
150; 1000101; 45; 69; 3; 5; 4.000015e-08; 2.093056895e-05; -0.005002195184557667; 4.499995825e-08; -0.8530723645
150; 111; 7; 7; 3; 4; 4.000035e-08; -3.89196856e-05; -0.005014696602020074; 4.499991205e-08; -0.8490166295
150; 1000110; 46; 70; 3; 4; 4.00000844e-08; -2.688493305e-05; -0.005028074259367945; 4.5000369350000004e-08; -0.852032573
150; 1001001; 49; 73; 3; 5; 4.000007935e-08; -1.7039141315e-05; -0.005020113471431172; 4.5000905600000003e-08; -0.8361045105
150; 1001011; 4B; 75; 4; 5; 4.0000842299999996e-08; -4.09162035e-05; -0.004995809406274173; 4.500150585e-08; -0.8818189415
150; 1001100; 4C; 76; 3; 3; 4.0000231550000004e-08; 5.1038048500000004e-05; -0.005033326315355444; 4.49998509e-08; -0.8518632214999999
150; 1001101; 4D; 77; 4; 5; 4.00005e-08; -6.685532075e-05; -0.00504736819626202; 4.50002666e-08; -0.894540212
150; 1010001; 51; 81; 3; 4; 4.00005e-08; 5.69425034e-05; -0.005004524695971631; 4.4999902249999995e-08; -0.844044928
150; 1010101; 55; 85; 4; 6; 4.0000459049999996e-08; -2.649496635e-05; -0.00498919388747724; 4.499996285e-08; -0.842268463
150; 1010110; 56; 86; 4; 4; 4.00006782e-08; -7.065858185e-05; -0.005052052323135392; 4.500041395e-08; -0.8416506845
150; 1010111; 57; 87; 5; 5; 4.00007056e-08; -3.082199305e-05; -0.0049999889612325574; 4.50003716e-08; -0.854046937
150; 1011000; 58; 88; 3; 4; 4.00005e-08; -4.4490503650000004e-05; -0.004972435889857793; 4.49994808e-08; -0.8419186375
150; 1011001; 59; 89; 4; 5; 4.00005e-08; -2.90158237e-05; -0.004978726022262223; 4.5001399400000005e-08; -0.841791856
