P [mW]; data_bin; data_hex; data_dec; hamming_in; hamming_out; time [ns]; I (static) [A]; I (dynamic) [A]; time [ns]; I (laser) [A]
150; 1; 1; 1; 1; 5; 2.0005e-08; -5.512761165e-07; -0.00020978252199259316; 3.0000000000000004e-08; -0.06270777055
150; 1010; A; 10; 2; 5; 2.0005e-08; -1.033027615e-06; -0.0005680942182404035; 3.0000000000000004e-08; -0.0626711447
150; 1100100; 64; 100; 3; 3; 2.0005e-08; 2.614656636e-06; -0.0006076261945930327; 3.0000000000000004e-08; -0.0627958342
150; 1100101; 65; 101; 4; 4; 2.0005e-08; 6.9915183635e-06; -0.0009154490322638309; 3.0000000000000004e-08; -0.0626147588
150; 1100110; 66; 102; 4; 4; 2.0005e-08; 6.1947603215e-06; -0.0009213371426056512; 3.0000000000000004e-08; -0.0626282514
150; 1100111; 67; 103; 5; 3; 2.0005e-08; -6.104398142e-06; -0.0012906777671195368; 3.0000000000000004e-08; -0.0624957703
150; 1101000; 68; 104; 3; 3; 2.0005e-08; 1.1561819074999999e-05; -0.0005244365374685233; 3.0000000000000004e-08; -0.0627123302
150; 1101001; 69; 105; 4; 6; 2.0005e-08; -1.4837211535e-05; -0.0009039885141847717; 3.0000000000000004e-08; -0.06271080825
150; 1101010; 6A; 106; 4; 1; 2.0005e-08; -5.281133325e-07; -0.0009975431316057392; 3.0000000000000004e-08; -0.06260776715
150; 1101011; 6B; 107; 5; 7; 2.0005e-08; 1.81504993e-06; -0.001422856801340524; 3.0000000000000004e-08; -0.06274281079999999
150; 1101100; 6C; 108; 4; 2; 2.0005e-08; -9.151306109999999e-07; -0.0010128282152241442; 3.0000000000000004e-08; -0.06270006245
150; 1101101; 6D; 109; 5; 4; 2.0005e-08; -1.188882606e-06; -0.0013116103471077201; 3.0000000000000004e-08; -0.06261385985000001
150; 1011; B; 11; 3; 4; 2.0005e-08; -8.511093485e-07; -0.0009002488206135102; 3.0000000000000004e-08; -0.0626927541
150; 1101110; 6E; 110; 5; 6; 2.0005e-08; -5.223801055e-06; -0.001242727412455989; 3.0000000000000004e-08; -0.06261666025
150; 1101111; 6F; 111; 6; 3; 2.0005e-08; 4.8234001955e-06; -0.001524895053916569; 3.0000000000000004e-08; -0.06246443655
150; 1110000; 70; 112; 3; 3; 2.00024308e-08; -1.107611183e-06; -0.0004995853194071448; 3.0000000000000004e-08; -0.0626813125
150; 1110001; 71; 113; 4; 4; 2.0005e-08; 1.41923327315e-05; -0.0008241941229012026; 3.0000000000000004e-08; -0.0626009815
150; 1110010; 72; 114; 4; 1; 2.0005e-08; 5.43855016e-06; -0.0009035672286345441; 3.0000000000000004e-08; -0.0625049016
150; 1110011; 73; 115; 5; 5; 2.0005e-08; 4.883293311e-06; -0.001287202644832477; 3.0000000000000004e-08; -0.0625706067
